"","Longitude","Latitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Elevation"
"LANDB062B",-59.590785,-18.345503,247,130,67,2171,337,145,192,268,217,269,216,1096,164,20,51,449,101,434,131,613
"LANDB062C",-59.590785,-18.345503,247,130,67,2171,337,145,192,268,217,269,216,1096,164,20,51,449,101,434,131,613
"LANDB063A",-65.08333333,-18.18333333,173,151,65,2194,277,48,229,192,141,195,141,548,119,1,99,341,9,181,9,2520
"LANDB063B",-65.08333333,-18.18333333,173,151,65,2194,277,48,229,192,141,195,141,548,119,1,99,341,9,181,9,2520
"LANDB063C",-65.08333333,-18.18333333,173,151,65,2194,277,48,229,192,141,195,141,548,119,1,99,341,9,181,9,2520
"LANDB064A",-57.827936,-18.965107,257,118,66,2301,339,162,177,279,226,279,223,1059,171,24,56,462,82,462,113,120
"LANDB064B",-57.827936,-18.965107,257,118,66,2301,339,162,177,279,226,279,223,1059,171,24,56,462,82,462,113,120
"LANDB064C",-57.827936,-18.965107,257,118,66,2301,339,162,177,279,226,279,223,1059,171,24,56,462,82,462,113,120
"LANDB065A",-65.35,-23.2,96,185,61,4027,228,-71,299,137,40,137,38,192,52,0,109,137,2,137,3,2973
"LANDB065B",-65.35,-23.2,96,185,61,4027,228,-71,299,137,40,137,38,192,52,0,109,137,2,137,3,2973
"LANDB065C",-65.35,-23.2,96,185,61,4027,228,-71,299,137,40,137,38,192,52,0,109,137,2,137,3,2973
"LANDB066A",-64.40514,-22.537684,211,131,52,3897,321,73,248,254,174,254,155,1124,209,4,84,609,28,609,32,559
"LANDB066B",-64.40514,-22.537684,211,131,52,3897,321,73,248,254,174,254,155,1124,209,4,84,609,28,609,32,559
"LANDB066C",-64.40514,-22.537684,211,131,52,3897,321,73,248,254,174,254,155,1124,209,4,84,609,28,609,32,559
"LANDB067A",-65.23333333,-21.36666667,152,172,63,3409,269,-2,271,184,102,185,102,421,98,0,102,271,2,226,2,2900
"LANDB067B",-65.23333333,-21.36666667,152,172,63,3409,269,-2,271,184,102,185,102,421,98,0,102,271,2,226,2,2900
"LANDB067C",-65.23333333,-21.36666667,152,172,63,3409,269,-2,271,184,102,185,102,421,98,0,102,271,2,226,2,2900
"LANDB068A",-63.66666667,-21.91666667,206,135,54,3535,314,67,247,239,174,246,156,990,181,4,81,513,17,495,42,640
"LANDB068B",-63.66666667,-21.91666667,206,135,54,3535,314,67,247,239,174,246,156,990,181,4,81,513,17,495,42,640
"LANDB068C",-63.66666667,-21.91666667,206,135,54,3535,314,67,247,239,174,246,156,990,181,4,81,513,17,495,42,640
"LANDB069A",-74.86529,-12.634544,93,150,76,909,179,-16,195,99,80,100,78,738,130,9,67,367,45,210,45,3263
"LANDB069B",-74.86529,-12.634544,93,150,76,909,179,-16,195,99,80,100,78,738,130,9,67,367,45,210,45,3263
"LANDB069C",-74.86529,-12.634544,93,150,76,909,179,-16,195,99,80,100,78,738,130,9,67,367,45,210,45,3263
"LANDB070A",-73.094775,-12.623998,232,142,81,608,317,142,175,232,225,237,225,1449,211,28,55,626,114,442,114,751
"LANDB070B",-73.094775,-12.623998,232,142,81,608,317,142,175,232,225,237,225,1449,211,28,55,626,114,442,114,751
"LANDB070C",-73.094775,-12.623998,232,142,81,608,317,142,175,232,225,237,225,1449,211,28,55,626,114,442,114,751
"LANDB071A",-78.65,-6.55,112,140,84,566,188,23,165,115,103,117,103,1088,156,32,45,395,102,338,102,2391
"LANDB071B",-78.65,-6.55,112,140,84,566,188,23,165,115,103,117,103,1088,156,32,45,395,102,338,102,2391
"LANDB071C",-78.65,-6.55,112,140,84,566,188,23,165,115,103,117,103,1088,156,32,45,395,102,338,102,2391
"LANDB073A",-75.321984,-11.904015,89,146,77,843,171,-17,188,93,76,97,76,800,138,9,69,388,37,256,37,3315
"LANDB073B",-75.321984,-11.904015,89,146,77,843,171,-17,188,93,76,97,76,800,138,9,69,388,37,256,37,3315
"LANDB073C",-75.321984,-11.904015,89,146,77,843,171,-17,188,93,76,97,76,800,138,9,69,388,37,256,37,3315
"LANDB074A",-70.25,-12,246,110,73,959,314,165,149,252,231,254,231,2772,383,83,46,1094,292,870,292,234
"LANDB074B",-70.25,-12,246,110,73,959,314,165,149,252,231,254,231,2772,383,83,46,1094,292,870,292,234
"LANDB074C",-70.25,-12,246,110,73,959,314,165,149,252,231,254,231,2772,383,83,46,1094,292,870,292,234
"LANDB076A",-74.9,-10.33333333,255,112,82,417,321,185,136,256,249,259,249,2775,417,105,44,1090,331,678,331,252
"LANDB076B",-74.9,-10.33333333,255,112,82,417,321,185,136,256,249,259,249,2775,417,105,44,1090,331,678,331,252
"LANDB076C",-74.9,-10.33333333,255,112,82,417,321,185,136,256,249,259,249,2775,417,105,44,1090,331,678,331,252
"LANDB077A",-73.101212,5.399671,111,87,76,563,169,56,113,106,112,117,102,1096,134,15,46,399,87,213,379,2150
"LANDB077B",-73.101212,5.399671,111,87,76,563,169,56,113,106,112,117,102,1096,134,15,46,399,87,213,379,2150
"LANDB077C",-73.101212,5.399671,111,87,76,563,169,56,113,106,112,117,102,1096,134,15,46,399,87,213,379,2150
"LANDB078A",-74.92,5.32,246,98,87,351,306,194,112,242,249,249,240,2713,401,117,38,990,421,518,951,840
"LANDB078B",-74.92,5.32,246,98,87,351,306,194,112,242,249,249,240,2713,401,117,38,990,421,518,951,840
"LANDB078C",-74.92,5.32,246,98,87,351,306,194,112,242,249,249,240,2713,401,117,38,990,421,518,951,840
"LANDB080A",-78.732381,-8.597077,186,81,58,1923,264,126,138,213,176,213,165,8,2,0,85,6,0,6,1,14
"LANDB080B",-78.732381,-8.597077,186,81,58,1923,264,126,138,213,176,213,165,8,2,0,85,6,0,6,1,14
"LANDB080C",-78.732381,-8.597077,186,81,58,1923,264,126,138,213,176,213,165,8,2,0,85,6,0,6,1,14
"LANDB081A",-66.215533,-20.816261,86,177,63,3553,205,-72,277,120,65,120,30,151,50,0,131,118,1,118,1,3937
"LANDB081B",-66.215533,-20.816261,86,177,63,3553,205,-72,277,120,65,120,30,151,50,0,131,118,1,118,1,3937
"LANDB081C",-66.215533,-20.816261,86,177,63,3553,205,-72,277,120,65,120,30,151,50,0,131,118,1,118,1,3937
"LANDB082A",-63.292271,-20.680467,227,133,55,3453,333,93,240,256,198,265,179,719,136,3,84,386,15,380,46,755
"LANDB082B",-63.292271,-20.680467,227,133,55,3453,333,93,240,256,198,265,179,719,136,3,84,386,15,380,46,755
"LANDB082C",-63.292271,-20.680467,227,133,55,3453,333,93,240,256,198,265,179,719,136,3,84,386,15,380,46,755
"LANDB083A",-78.457937,-0.148041,154,137,88,149,231,76,155,154,151,155,151,843,125,12,47,336,69,322,69,2890
"LANDB083B",-78.457937,-0.148041,154,137,88,149,231,76,155,154,151,155,151,843,125,12,47,336,69,322,69,2890
"LANDB083C",-78.457937,-0.148041,154,137,88,149,231,76,155,154,151,155,151,843,125,12,47,336,69,322,69,2890
"LANDB084A",-80.44021,-1.066298,249,98,80,685,308,187,121,256,242,257,240,571,157,4,112,395,14,371,17,36
"LANDB084B",-80.44021,-1.066298,249,98,80,685,308,187,121,256,242,257,240,571,157,4,112,395,14,371,17,36
"LANDB084C",-80.44021,-1.066298,249,98,80,685,308,187,121,256,242,257,240,571,157,4,112,395,14,371,17,36
"LANDB085A",-71.744682,-13.950973,91,168,72,1531,191,-41,232,103,69,103,66,780,163,4,86,438,18,356,19,3061
"LANDB085B",-71.744682,-13.950973,91,168,72,1531,191,-41,232,103,69,103,66,780,163,4,86,438,18,356,19,3061
"LANDB085C",-71.744682,-13.950973,91,168,72,1531,191,-41,232,103,69,103,66,780,163,4,86,438,18,356,19,3061
"LANDB086A",-75.219284,-14.660126,203,135,63,2531,304,93,211,237,199,237,172,4,2,0,62,4,0,4,0,236
"LANDB086B",-75.219284,-14.660126,203,135,63,2531,304,93,211,237,199,237,172,4,2,0,62,4,0,4,0,236
"LANDB086C",-75.219284,-14.660126,203,135,63,2531,304,93,211,237,199,237,172,4,2,0,62,4,0,4,0,236
"LANDB087A",-79.710107,-4.635925,186,127,92,185,254,116,138,186,183,187,183,1001,249,7,97,627,27,411,83,2641
"LANDB087B",-79.710107,-4.635925,186,127,92,185,254,116,138,186,183,187,183,1001,249,7,97,627,27,411,83,2641
"LANDB087C",-79.710107,-4.635925,186,127,92,185,254,116,138,186,183,187,183,1001,249,7,97,627,27,411,83,2641
"LANDB088A",-80.711375,-4.872712,236,123,67,2257,332,149,183,266,213,266,210,64,33,0,157,56,0,53,0,49
"LANDB088B",-80.711375,-4.872712,236,123,67,2257,332,149,183,266,213,266,210,64,33,0,157,56,0,53,0,49
"LANDB088C",-80.711375,-4.872712,236,123,67,2257,332,149,183,266,213,266,210,64,33,0,157,56,0,53,0,49
"LANDB089A",-65.76493,-23.534009,85,182,62,3927,215,-77,292,126,31,126,28,158,46,0,114,117,1,117,2,3488
"LANDB089B",-65.76493,-23.534009,85,182,62,3927,215,-77,292,126,31,126,28,158,46,0,114,117,1,117,2,3488
"LANDB089C",-65.76493,-23.534009,85,182,62,3927,215,-77,292,126,31,126,28,158,46,0,114,117,1,117,2,3488
"LANDB090A",-61.48,-23.78,231,137,54,3873,351,101,250,266,179,277,178,634,109,8,67,301,35,288,53,175
"LANDB090B",-61.48,-23.78,231,137,54,3873,351,101,250,266,179,277,178,634,109,8,67,301,35,288,53,175
"LANDB090C",-61.48,-23.78,231,137,54,3873,351,101,250,266,179,277,178,634,109,8,67,301,35,288,53,175
"LANDB091A",-79.237167,-3.620286,138,96,88,281,194,86,108,139,134,141,133,728,109,24,48,311,84,165,87,2497
"LANDB091B",-79.237167,-3.620286,138,96,88,281,194,86,108,139,134,141,133,728,109,24,48,311,84,165,87,2497
"LANDB091C",-79.237167,-3.620286,138,96,88,281,194,86,108,139,134,141,133,728,109,24,48,311,84,165,87,2497
"LANDB092A",-79.747472,-2.761385,254,92,75,1042,319,197,122,265,242,267,242,834,197,7,105,549,34,523,34,2
"LANDB092B",-79.747472,-2.761385,254,92,75,1042,319,197,122,265,242,267,242,834,197,7,105,549,34,523,34,2
"LANDB092C",-79.747472,-2.761385,254,92,75,1042,319,197,122,265,242,267,242,834,197,7,105,549,34,523,34,2
"LANDB093A",-64.76666667,-20.78333333,150,159,65,2817,253,9,244,177,110,178,109,570,117,1,90,332,16,272,16,3100
"LANDB093B",-64.76666667,-20.78333333,150,159,65,2817,253,9,244,177,110,178,109,570,117,1,90,332,16,272,16,3100
"LANDB093C",-64.76666667,-20.78333333,150,159,65,2817,253,9,244,177,110,178,109,570,117,1,90,332,16,272,16,3100
"LANDB094A",-64.126759,-21.550444,191,147,57,3360,299,44,255,229,160,229,142,785,157,2,87,431,10,431,24,920
"LANDB094B",-64.126759,-21.550444,191,147,57,3360,299,44,255,229,160,229,142,785,157,2,87,431,10,431,24,920
"LANDB094C",-64.126759,-21.550444,191,147,57,3360,299,44,255,229,160,229,142,785,157,2,87,431,10,431,24,920
"LANDB099A",-68.15,-16.5,101,158,70,1665,199,-26,225,114,77,117,76,558,119,5,79,309,25,254,25,3929
"LANDB099B",-68.15,-16.5,101,158,70,1665,199,-26,225,114,77,117,76,558,119,5,79,309,25,254,25,3929
"LANDB099C",-68.15,-16.5,101,158,70,1665,199,-26,225,114,77,117,76,558,119,5,79,309,25,254,25,3929
"LANDB100A",-60.66666667,-17.41666667,246,129,65,2019,334,138,196,263,231,264,216,1199,208,22,61,565,101,379,142,324
"LANDB100B",-60.66666667,-17.41666667,246,129,65,2019,334,138,196,263,231,264,216,1199,208,22,61,565,101,379,142,324
"LANDB100C",-60.66666667,-17.41666667,246,129,65,2019,334,138,196,263,231,264,216,1199,208,22,61,565,101,379,142,324
"LANDB101A",-77.240432,-9.385108,58,147,77,836,141,-49,190,66,45,66,45,791,144,5,68,371,22,371,22,3524
"LANDB101B",-77.240432,-9.385108,58,147,77,836,141,-49,190,66,45,66,45,791,144,5,68,371,22,371,22,3524
"LANDB101C",-77.240432,-9.385108,58,147,77,836,141,-49,190,66,45,66,45,791,144,5,68,371,22,371,22,3524
"LANDB102A",-75.513495,-9.028934,251,122,85,346,322,179,143,253,248,254,245,4491,550,144,39,1587,514,1470,555,306
"LANDB102B",-75.513495,-9.028934,251,122,85,346,322,179,143,253,248,254,245,4491,550,144,39,1587,514,1470,555,306
"LANDB102C",-75.513495,-9.028934,251,122,85,346,322,179,143,253,248,254,245,4491,550,144,39,1587,514,1470,555,306
"LANDB103A",-72.89971,-13.650254,115,163,77,1012,217,6,211,118,101,126,99,795,149,7,77,426,27,234,34,2154
"LANDB103B",-72.89971,-13.650254,115,163,77,1012,217,6,211,118,101,126,99,795,149,7,77,426,27,234,34,2154
"LANDB103C",-72.89971,-13.650254,115,163,77,1012,217,6,211,118,101,126,99,795,149,7,77,426,27,234,34,2154
"LANDB104A",-65.195133,-14.389555,256,116,66,1461,335,161,174,265,234,268,234,1775,294,38,58,791,133,544,133,149
"LANDB104B",-65.195133,-14.389555,256,116,66,1461,335,161,174,265,234,268,234,1775,294,38,58,791,133,544,133,149
"LANDB104C",-65.195133,-14.389555,256,116,66,1461,335,161,174,265,234,268,234,1775,294,38,58,791,133,544,133,149
"LANDB105A",-78.041914,-7.804269,124,153,83,759,205,21,184,131,112,131,112,797,147,9,66,369,34,369,34,3217
"LANDB105B",-78.041914,-7.804269,124,153,83,759,205,21,184,131,112,131,112,797,147,9,66,369,34,369,34,3217
"LANDB105C",-78.041914,-7.804269,124,153,83,759,205,21,184,131,112,131,112,797,147,9,66,369,34,369,34,3217
"LANDB106A",-76.692725,-7.174336,261,121,86,506,327,187,140,262,253,266,253,1605,194,72,30,525,236,425,236,269
